date,draw_number,time_of_day,time,winning_number,symbol,modifiers
01-01-2019,18323,Midday,1:00 PM,25,Morocoy,
01-01-2019,18322,Morning,10:30 AM,21,Mouth,
01-01-2020,19556,Afternoon,4:00 PM,10,Monkey,"Mega Ultra Ball, Mega Extreme Ball"
01-01-2020,19557,Evening,7:00 PM,19,Horse,
01-01-2020,19555,Midday,1:00 PM,26,Fowl,
01-01-2020,19554,Morning,10:30 AM,8,Tiger,
01-01-2021,20584,Afternoon,4:00 PM,6,Belly,
01-01-2021,20585,Evening,7:00 PM,24,Queen,Mega Extreme Ball
01-01-2021,20583,Midday,1:00 PM,15,Sick Woman,
01-01-2021,20582,Morning,10:30 AM,25,Morocoy,
01-01-2022,21528,Afternoon,4:00 PM,7,Hog,Megaball
01-01-2022,21529,Evening,7:00 PM,3,Carriage,
01-01-2022,21527,Midday,1:00 PM,22,Rat,Gold Ball
01-01-2022,21526,Morning,10:30 AM,23,Big House,Gold Ball
01-01-2024,23988,Afternoon,4:00 PM,31,Parson Wife,
01-01-2024,23989,Evening,7:00 PM,33,Spider,Megaball
01-01-2024,23987,Midday,1:00 PM,16,Jammette,
01-01-2024,23986,Morning,10:30 AM,36,Donkey,Megaball
01-01-2025,25220,Afternoon,4:00 PM,11,Corbeau,Mega Extreme Ball
01-01-2025,25221,Evening,7:00 PM,32,Shrimp,"Gold Ball, Megaball"
01-01-2025,25219,Midday,1:00 PM,24,Queen,Megaball
01-01-2025,25218,Morning,10:30 AM,7,Hog,Gold Ball
01-02-1995,364,Evening,7:00 PM,7,Hog,
01-02-1995,363,Midday,1:00 PM,2,Old Lady,
01-02-1996,980,Evening,7:00 PM,33,Spider,
01-02-1996,979,Midday,1:00 PM,23,Big House,
01-02-1997,1596,Evening,7:00 PM,2,Old Lady,
01-02-1997,1595,Midday,1:00 PM,5,Parson Man,
01-02-1999,2824,Evening,7:00 PM,34,Blind Man,
01-02-1999,2823,Midday,1:00 PM,28,Red Fish,
01-02-2000,3440,Evening,7:00 PM,15,Sick Woman,
01-02-2000,3439,Midday,1:00 PM,35,Big Snake,
01-02-2001,4056,Evening,7:00 PM,5,Parson Man,
01-02-2001,4055,Midday,1:00 PM,35,Big Snake,
01-02-2002,4670,Evening,7:00 PM,34,Blind Man,
01-02-2002,4669,Midday,1:00 PM,13,Crapaud,
01-02-2003,5284,Evening,7:00 PM,1,Centipede,
01-02-2003,5283,Midday,1:00 PM,19,Horse,
01-02-2005,6510,Evening,7:00 PM,6,Belly,
01-02-2005,6509,Midday,1:00 PM,22,Rat,
01-02-2006,7122,Evening,7:00 PM,29,Opium Man,
01-02-2006,7121,Midday,1:00 PM,25,Morocoy,
01-02-2007,7736,Evening,7:00 PM,31,Parson Wife,
01-02-2007,7735,Midday,1:00 PM,17,Pigeon,
01-02-2008,8350,Evening,7:00 PM,9,Cattle,
01-02-2008,8349,Midday,1:00 PM,6,Belly,
01-02-2010,9580,Evening,7:00 PM,27,Little Snake,
01-02-2010,9579,Midday,1:00 PM,32,Shrimp,
01-02-2011,10194,Evening,7:00 PM,24,Queen,
01-02-2011,10193,Midday,1:00 PM,34,Blind Man,
01-02-2012,10873,Evening,7:00 PM,17,Pigeon,
01-02-2012,10872,Midday,1:00 PM,27,Little Snake,
01-02-2012,10871,Morning,10:30 AM,22,Rat,
01-02-2013,11800,Evening,7:00 PM,26,Fowl,
01-02-2013,11799,Midday,1:00 PM,2,Old Lady,
01-02-2013,11798,Morning,10:30 AM,22,Rat,
01-02-2014,12721,Evening,7:00 PM,17,Pigeon,
01-02-2014,12720,Midday,1:00 PM,25,Morocoy,
01-02-2014,12719,Morning,10:30 AM,12,King,
01-02-2016,14740,Afternoon,4:00 PM,19,Horse,
01-02-2016,14741,Evening,7:00 PM,6,Belly,
01-02-2016,14739,Midday,1:00 PM,20,Dog,
01-02-2016,14738,Morning,10:30 AM,7,Hog,
01-02-2017,15976,Afternoon,4:00 PM,34,Blind Man,Megaball
01-02-2017,15977,Evening,7:00 PM,11,Corbeau,Megaball
01-02-2017,15975,Midday,1:00 PM,31,Parson Wife,
01-02-2017,15974,Morning,10:30 AM,7,Hog,
01-02-2018,17204,Afternoon,4:00 PM,33,Spider,
01-02-2018,17205,Evening,7:00 PM,8,Tiger,
01-02-2018,17203,Midday,1:00 PM,26,Fowl,
01-02-2018,17202,Morning,10:30 AM,19,Horse,
01-02-2019,18432,Afternoon,4:00 PM,14,Money,Megaball
01-02-2019,18433,Evening,7:00 PM,20,Dog,
01-02-2019,18431,Midday,1:00 PM,3,Carriage,Megaball
01-02-2019,18430,Morning,10:30 AM,27,Little Snake,
01-02-2020,19664,Afternoon,4:00 PM,36,Donkey,
01-02-2020,19665,Evening,7:00 PM,2,Old Lady,"Megaball, Mega Extreme Ball"
01-02-2020,19663,Midday,1:00 PM,21,Mouth,
01-02-2020,19662,Morning,10:30 AM,17,Pigeon,"Megaball, Mega Extreme Ball"
01-02-2021,20688,Afternoon,4:00 PM,24,Queen,Megaball
01-02-2021,20689,Evening,7:00 PM,19,Horse,"Megaball, Mega Ultra Ball"
01-02-2021,20687,Midday,1:00 PM,8,Tiger,Mega Extreme Ball
01-02-2021,20686,Morning,10:30 AM,21,Mouth,Megaball
01-02-2022,21632,Afternoon,4:00 PM,31,Parson Wife,"Megaball, Mega Ultra Ball"
01-02-2022,21633,Evening,7:00 PM,19,Horse,Gold Ball
01-02-2022,21631,Midday,1:00 PM,21,Mouth,Mega Ultra Ball
01-02-2022,21630,Morning,10:30 AM,10,Monkey,Mega Extreme Ball
01-02-2023,22864,Afternoon,4:00 PM,16,Jammette,"Mega Bonus Ball, Mega Bonus Ball"
01-02-2023,22865,Evening,7:00 PM,13,Crapaud,"Megaball, Mega Ultra Ball"
01-02-2023,22863,Midday,1:00 PM,27,Little Snake,Mega Ultra Ball
01-02-2023,22862,Morning,10:30 AM,11,Corbeau,
01-02-2024,24096,Afternoon,4:00 PM,3,Carriage,"Megaball, Mega Extreme Ball"
01-02-2024,24097,Evening,7:00 PM,20,Dog,Mega Extreme Ball
01-02-2024,24095,Midday,1:00 PM,1,Centipede,"Megaball, Mega Ultra Ball"
01-02-2024,24094,Morning,10:30 AM,28,Red Fish,"Megaball, Mega Extreme Ball"
01-02-2025,25328,Afternoon,4:00 PM,17,Pigeon,
01-02-2025,25329,Evening,7:00 PM,26,Fowl,
01-02-2025,25327,Midday,1:00 PM,27,Little Snake,
01-02-2025,25326,Morning,10:30 AM,8,Tiger,Mega Ultra Ball
01-03-1995,412,Evening,7:00 PM,14,Money,
01-03-1995,411,Midday,1:00 PM,2,Old Lady,
01-03-1996,1028,Evening,7:00 PM,21,Mouth,
01-03-1996,1027,Midday,1:00 PM,6,Belly,
01-03-1997,1642,Evening,7:00 PM,23,Big House,
01-03-1997,1641,Midday,1:00 PM,2,Old Lady,
01-03-1999,2872,Evening,7:00 PM,36,Donkey,
01-03-1999,2871,Midday,1:00 PM,20,Dog,
01-03-2000,3490,Evening,7:00 PM,6,Belly,
01-03-2000,3489,Midday,1:00 PM,32,Shrimp,
01-03-2001,4104,Evening,7:00 PM,12,King,
01-03-2001,4103,Midday,1:00 PM,22,Rat,
01-03-2002,4718,Evening,7:00 PM,5,Parson Man,
01-03-2002,4717,Midday,1:00 PM,18,Water Boat,
01-03-2003,5332,Evening,7:00 PM,14,Money,
01-03-2003,5331,Midday,1:00 PM,30,House Cat,
01-03-2004,5946,Evening,7:00 PM,2,Old Lady,
01-03-2004,5945,Midday,1:00 PM,23,Big House,
01-03-2005,6558,Evening,7:00 PM,27,Little Snake,
01-03-2005,6557,Midday,1:00 PM,10,Monkey,
01-03-2006,7170,Evening,7:00 PM,6,Belly,
01-03-2006,7169,Midday,1:00 PM,17,Pigeon,
01-03-2007,7784,Evening,7:00 PM,11,Corbeau,
01-03-2007,7783,Midday,1:00 PM,29,Opium Man,
01-03-2008,8400,Evening,7:00 PM,31,Parson Wife,
01-03-2008,8399,Midday,1:00 PM,35,Big Snake,
01-03-2010,9628,Evening,7:00 PM,18,Water Boat,
01-03-2010,9627,Midday,1:00 PM,4,Dead Man,
01-03-2011,10242,Evening,7:00 PM,18,Water Boat,
01-03-2011,10241,Midday,1:00 PM,14,Money,
01-03-2012,10948,Evening,7:00 PM,2,Old Lady,
01-03-2012,10947,Midday,1:00 PM,23,Big House,
01-03-2012,10946,Morning,10:30 AM,2,Old Lady,
01-03-2013,11872,Evening,7:00 PM,11,Corbeau,
01-03-2013,11871,Midday,1:00 PM,28,Red Fish,
01-03-2013,11870,Morning,10:30 AM,10,Monkey,
01-03-2014,12793,Evening,7:00 PM,5,Parson Man,
01-03-2014,12792,Midday,1:00 PM,8,Tiger,
01-03-2014,12791,Morning,10:30 AM,35,Big Snake,
01-03-2016,14840,Afternoon,4:00 PM,5,Parson Man,
01-03-2016,14841,Evening,7:00 PM,32,Shrimp,
01-03-2016,14839,Midday,1:00 PM,18,Water Boat,
01-03-2016,14838,Morning,10:30 AM,10,Monkey,
01-03-2017,16072,Afternoon,4:00 PM,1,Centipede,Megaball
01-03-2017,16073,Evening,7:00 PM,18,Water Boat,
01-03-2017,16071,Midday,1:00 PM,16,Jammette,Megaball
01-03-2017,16070,Morning,10:30 AM,29,Opium Man,
01-03-2018,17300,Afternoon,4:00 PM,30,House Cat,Megaball
01-03-2018,17301,Evening,7:00 PM,9,Cattle,Megaball
01-03-2018,17299,Midday,1:00 PM,22,Rat,Megaball
01-03-2018,17298,Morning,10:30 AM,36,Donkey,Megaball
01-03-2019,18528,Afternoon,4:00 PM,35,Big Snake,
01-03-2019,18529,Evening,7:00 PM,30,House Cat,Megaball
01-03-2019,18527,Midday,1:00 PM,5,Parson Man,Megaball
01-03-2019,18526,Morning,10:30 AM,15,Sick Woman,Megaball
01-03-2021,20784,Afternoon,4:00 PM,17,Pigeon,Megaball
01-03-2021,20785,Evening,7:00 PM,27,Little Snake,
01-03-2021,20783,Midday,1:00 PM,30,House Cat,Megaball
01-03-2021,20782,Morning,10:30 AM,3,Carriage,Mega Extreme Ball
01-03-2022,21728,Afternoon,4:00 PM,24,Queen,"Mega Bonus Ball, Mega Bonus Ball"
01-03-2022,21729,Evening,7:00 PM,6,Belly,"Megaball, Mega Extreme Ball"
01-03-2022,21727,Midday,1:00 PM,18,Water Boat,Mega Bonus Ball
01-03-2022,21726,Morning,10:30 AM,3,Carriage,Mega Bonus Ball
01-03-2023,22960,Afternoon,4:00 PM,3,Carriage,
01-03-2023,22961,Evening,7:00 PM,15,Sick Woman,"Mega Bonus Ball, Mega Bonus Ball"
01-03-2023,22959,Midday,1:00 PM,18,Water Boat,
01-03-2023,22958,Morning,10:30 AM,12,King,
01-03-2024,24196,Afternoon,4:00 PM,2,Old Lady,
01-03-2024,24197,Evening,7:00 PM,14,Money,Megaball
01-03-2024,24195,Midday,1:00 PM,28,Red Fish,"Megaball, Mega Ultra Ball"
01-03-2024,24194,Morning,10:30 AM,3,Carriage,
01-04-1995,464,Evening,7:00 PM,15,Sick Woman,
01-04-1995,463,Midday,1:00 PM,11,Corbeau,
01-04-1996,1078,Evening,7:00 PM,5,Parson Man,
01-04-1996,1077,Midday,1:00 PM,35,Big Snake,
01-04-1997,1692,Evening,7:00 PM,33,Spider,
01-04-1997,1691,Midday,1:00 PM,29,Opium Man,
01-04-1998,2310,Evening,7:00 PM,11,Corbeau,
01-04-1998,2309,Midday,1:00 PM,20,Dog,
01-04-1999,2924,Evening,7:00 PM,15,Sick Woman,
01-04-1999,2923,Midday,1:00 PM,1,Centipede,
01-04-2000,3542,Evening,7:00 PM,33,Spider,
01-04-2000,3541,Midday,1:00 PM,18,Water Boat,
01-04-2002,4766,Evening,7:00 PM,26,Fowl,
01-04-2002,4765,Midday,1:00 PM,14,Money,
01-04-2003,5382,Evening,7:00 PM,30,House Cat,
01-04-2003,5381,Midday,1:00 PM,5,Parson Man,
01-04-2004,5998,Evening,7:00 PM,16,Jammette,
01-04-2004,5997,Midday,1:00 PM,14,Money,
01-04-2005,6608,Evening,7:00 PM,22,Rat,
01-04-2005,6607,Midday,1:00 PM,28,Red Fish,
01-04-2006,7222,Evening,7:00 PM,14,Money,
01-04-2006,7221,Midday,1:00 PM,5,Parson Man,
01-04-2008,8450,Evening,7:00 PM,1,Centipede,
01-04-2008,8449,Midday,1:00 PM,29,Opium Man,
01-04-2009,9066,Evening,7:00 PM,1,Centipede,
01-04-2009,9065,Midday,1:00 PM,28,Red Fish,
01-04-2010,9680,Evening,7:00 PM,36,Donkey,
01-04-2010,9679,Midday,1:00 PM,25,Morocoy,
01-04-2011,10294,Evening,7:00 PM,23,Big House,
01-04-2011,10293,Midday,1:00 PM,19,Horse,
01-04-2013,11944,Evening,7:00 PM,6,Belly,
01-04-2013,11943,Midday,1:00 PM,6,Belly,
01-04-2013,11942,Morning,10:30 AM,2,Old Lady,
01-04-2014,12871,Evening,7:00 PM,24,Queen,
01-04-2014,12870,Midday,1:00 PM,31,Parson Wife,
01-04-2014,12869,Morning,10:30 AM,26,Fowl,
01-04-2015,13792,Evening,7:00 PM,12,King,
01-04-2015,13791,Midday,1:00 PM,16,Jammette,
01-04-2015,13790,Morning,10:30 AM,16,Jammette,
01-04-2016,14940,Afternoon,4:00 PM,16,Jammette,
01-04-2016,14941,Evening,7:00 PM,3,Carriage,
01-04-2016,14939,Midday,1:00 PM,14,Money,
01-04-2016,14938,Morning,10:30 AM,31,Parson Wife,
01-04-2017,16176,Afternoon,4:00 PM,35,Big Snake,
01-04-2017,16177,Evening,7:00 PM,16,Jammette,
01-04-2017,16175,Midday,1:00 PM,25,Morocoy,
01-04-2017,16174,Morning,10:30 AM,6,Belly,Megaball
01-04-2019,18628,Afternoon,4:00 PM,18,Water Boat,
01-04-2019,18629,Evening,7:00 PM,14,Money,
01-04-2019,18627,Midday,1:00 PM,9,Cattle,Megaball
01-04-2019,18626,Morning,10:30 AM,27,Little Snake,Megaball
01-04-2021,20888,Afternoon,4:00 PM,2,Old Lady,
01-04-2021,20889,Evening,7:00 PM,25,Morocoy,
01-04-2021,20887,Midday,1:00 PM,24,Queen,Mega Ultra Ball
01-04-2021,20886,Morning,10:30 AM,15,Sick Woman,
01-04-2022,21832,Afternoon,4:00 PM,14,Money,"Megaball, Mega Bonus Ball"
01-04-2022,21833,Evening,7:00 PM,1,Centipede,
01-04-2022,21831,Midday,1:00 PM,26,Fowl,Mega Bonus Ball
01-04-2022,21830,Morning,10:30 AM,12,King,Mega Ultra Ball
01-04-2023,23064,Afternoon,4:00 PM,5,Parson Man,
01-04-2023,23065,Evening,7:00 PM,11,Corbeau,Megaball
01-04-2023,23063,Midday,1:00 PM,14,Money,Mega Bonus Ball
01-04-2023,23062,Morning,10:30 AM,3,Carriage,Mega Bonus Ball
01-04-2024,24292,Afternoon,4:00 PM,21,Mouth,"Gold Ball, Megaball"
01-04-2024,24293,Evening,7:00 PM,28,Red Fish,Megaball
01-04-2024,24291,Midday,1:00 PM,21,Mouth,
01-04-2024,24290,Morning,10:30 AM,22,Rat,"Mega Ultra Ball, Mega Extreme Ball"
01-05-1995,512,Evening,7:00 PM,34,Blind Man,
01-05-1995,511,Midday,1:00 PM,1,Centipede,
01-05-1996,1128,Evening,7:00 PM,11,Corbeau,
01-05-1996,1127,Midday,1:00 PM,2,Old Lady,
01-05-1997,1744,Evening,7:00 PM,23,Big House,
01-05-1997,1743,Midday,1:00 PM,23,Big House,
01-05-1998,2360,Evening,7:00 PM,18,Water Boat,
01-05-1998,2359,Midday,1:00 PM,4,Dead Man,
01-05-1999,2974,Evening,7:00 PM,34,Blind Man,
01-05-1999,2973,Midday,1:00 PM,34,Blind Man,
01-05-2000,3590,Evening,7:00 PM,6,Belly,
01-05-2000,3589,Midday,1:00 PM,22,Rat,
01-05-2001,4204,Evening,7:00 PM,30,House Cat,
01-05-2001,4203,Midday,1:00 PM,36,Donkey,
01-05-2002,4818,Evening,7:00 PM,23,Big House,
01-05-2002,4817,Midday,1:00 PM,31,Parson Wife,
01-05-2003,5432,Evening,7:00 PM,4,Dead Man,
01-05-2003,5431,Midday,1:00 PM,36,Donkey,
01-05-2004,6048,Evening,7:00 PM,26,Fowl,
01-05-2004,6047,Midday,1:00 PM,31,Parson Wife,
01-05-2006,7270,Evening,7:00 PM,23,Big House,
01-05-2006,7269,Midday,1:00 PM,12,King,
01-05-2007,7884,Evening,7:00 PM,8,Tiger,
01-05-2007,7883,Midday,1:00 PM,32,Shrimp,
01-05-2008,8502,Evening,7:00 PM,29,Opium Man,
01-05-2008,8501,Midday,1:00 PM,17,Pigeon,
01-05-2009,9116,Evening,7:00 PM,20,Dog,
01-05-2009,9115,Midday,1:00 PM,29,Opium Man,
01-05-2010,9730,Evening,7:00 PM,19,Horse,
01-05-2010,9729,Midday,1:00 PM,29,Opium Man,
01-05-2012,11098,Evening,7:00 PM,30,House Cat,
01-05-2012,11097,Midday,1:00 PM,14,Money,
01-05-2012,11096,Morning,10:30 AM,7,Hog,
01-05-2013,12022,Evening,7:00 PM,25,Morocoy,
01-05-2013,12021,Midday,1:00 PM,8,Tiger,
01-05-2013,12020,Morning,10:30 AM,36,Donkey,
01-05-2014,12946,Evening,7:00 PM,4,Dead Man,
01-05-2014,12945,Midday,1:00 PM,5,Parson Man,
01-05-2014,12944,Morning,10:30 AM,2,Old Lady,
01-05-2015,13867,Evening,7:00 PM,34,Blind Man,
01-05-2015,13866,Midday,1:00 PM,2,Old Lady,
01-05-2015,13865,Morning,10:30 AM,34,Blind Man,
01-05-2017,16272,Afternoon,4:00 PM,8,Tiger,Megaball
01-05-2017,16273,Evening,7:00 PM,23,Big House,
01-05-2017,16271,Midday,1:00 PM,14,Money,Megaball
01-05-2017,16270,Morning,10:30 AM,22,Rat,Megaball
01-05-2018,17500,Afternoon,4:00 PM,12,King,Mega Bonus Ball
01-05-2018,17501,Evening,7:00 PM,14,Money,
01-05-2018,17499,Midday,1:00 PM,26,Fowl,Mega Bonus Ball
01-05-2018,17498,Morning,10:30 AM,19,Horse,
01-05-2019,18728,Afternoon,4:00 PM,33,Spider,
01-05-2019,18729,Evening,7:00 PM,35,Big Snake,Mega Bonus Ball
01-05-2019,18727,Midday,1:00 PM,16,Jammette,Megaball
01-05-2019,18726,Morning,10:30 AM,32,Shrimp,Megaball
01-05-2021,20988,Afternoon,4:00 PM,34,Blind Man,
01-05-2021,20989,Evening,7:00 PM,4,Dead Man,"Megaball, Mega Extreme Ball"
01-05-2021,20987,Midday,1:00 PM,8,Tiger,
01-05-2021,20986,Morning,10:30 AM,27,Little Snake,Mega Extreme Ball
01-05-2023,23156,Afternoon,4:00 PM,17,Pigeon,"Gold Ball, Megaball, Mega Ultra Ball"
01-05-2023,23157,Evening,7:00 PM,31,Parson Wife,"Gold Ball, Mega Extreme Ball"
01-05-2023,23155,Midday,1:00 PM,17,Pigeon,Megaball
01-05-2023,23154,Morning,10:30 AM,14,Money,Gold Ball
01-05-2024,24392,Afternoon,4:00 PM,14,Money,Megaball
01-05-2024,24393,Evening,7:00 PM,36,Donkey,
01-05-2024,24391,Midday,1:00 PM,30,House Cat,
01-05-2024,24390,Morning,10:30 AM,7,Hog,"Mega Bonus Ball, Mega Bonus Ball"
01-06-1995,566,Evening,7:00 PM,30,House Cat,
01-06-1995,565,Midday,1:00 PM,6,Belly,
01-06-1996,1182,Evening,7:00 PM,36,Donkey,
01-06-1996,1181,Midday,1:00 PM,22,Rat,
01-06-1998,2412,Evening,7:00 PM,12,King,
01-06-1998,2411,Midday,1:00 PM,28,Red Fish,
01-06-1999,3026,Evening,7:00 PM,36,Donkey,
01-06-1999,3025,Midday,1:00 PM,10,Monkey,
01-06-2000,3644,Evening,7:00 PM,26,Fowl,
01-06-2000,3643,Midday,1:00 PM,17,Pigeon,
01-06-2001,4258,Evening,7:00 PM,10,Monkey,
01-06-2001,4257,Midday,1:00 PM,1,Centipede,
01-06-2002,4870,Evening,7:00 PM,24,Queen,
01-06-2002,4869,Midday,1:00 PM,26,Fowl,
01-06-2004,6100,Evening,7:00 PM,19,Horse,
01-06-2004,6099,Midday,1:00 PM,35,Big Snake,
01-06-2005,6710,Evening,7:00 PM,13,Crapaud,
01-06-2005,6709,Midday,1:00 PM,27,Little Snake,
01-06-2006,7324,Evening,7:00 PM,8,Tiger,
01-06-2006,7323,Midday,1:00 PM,3,Carriage,
01-06-2007,7938,Evening,7:00 PM,35,Big Snake,
01-06-2007,7937,Midday,1:00 PM,31,Parson Wife,
01-06-2009,9168,Evening,7:00 PM,32,Shrimp,
01-06-2010,9782,Evening,7:00 PM,29,Opium Man,
01-06-2010,9781,Midday,1:00 PM,20,Dog,
01-06-2011,10396,Evening,7:00 PM,11,Corbeau,
01-06-2011,10395,Midday,1:00 PM,36,Donkey,
01-06-2012,11179,Evening,7:00 PM,26,Fowl,
01-06-2012,11178,Midday,1:00 PM,26,Fowl,
01-06-2012,11177,Morning,10:30 AM,28,Red Fish,
01-06-2013,12100,Evening,7:00 PM,30,House Cat,
01-06-2013,12099,Midday,1:00 PM,4,Dead Man,
01-06-2013,12098,Morning,10:30 AM,25,Morocoy,
01-06-2015,13945,Evening,7:00 PM,21,Mouth,
01-06-2015,13944,Midday,1:00 PM,35,Big Snake,
01-06-2015,13943,Morning,10:30 AM,27,Little Snake,
01-06-2016,15144,Afternoon,4:00 PM,14,Money,
01-06-2016,15145,Evening,7:00 PM,27,Little Snake,
01-06-2016,15143,Midday,1:00 PM,23,Big House,
01-06-2016,15142,Morning,10:30 AM,11,Corbeau,
01-06-2017,16380,Afternoon,4:00 PM,18,Water Boat,
01-06-2017,16381,Evening,7:00 PM,29,Opium Man,Megaball
01-06-2017,16379,Midday,1:00 PM,5,Parson Man,Megaball
01-06-2017,16378,Morning,10:30 AM,19,Horse,
01-06-2018,17604,Afternoon,4:00 PM,34,Blind Man,
01-06-2018,17605,Evening,7:00 PM,31,Parson Wife,
01-06-2018,17603,Midday,1:00 PM,23,Big House,
01-06-2018,17602,Morning,10:30 AM,1,Centipede,
01-06-2019,18836,Afternoon,4:00 PM,16,Jammette,
01-06-2019,18837,Evening,7:00 PM,34,Blind Man,Mega Bonus Ball
01-06-2019,18835,Midday,1:00 PM,19,Horse,Megaball
01-06-2019,18834,Morning,10:30 AM,28,Red Fish,Mega Bonus Ball
01-06-2020,19860,Afternoon,4:00 PM,11,Corbeau,Megaball
01-06-2020,19861,Evening,7:00 PM,2,Old Lady,Mega Ultra Ball
01-06-2020,19859,Midday,1:00 PM,18,Water Boat,"Mega Ultra Ball, Mega Extreme Ball"
01-06-2020,19858,Morning,10:30 AM,20,Dog,Mega Extreme Ball
01-06-2022,22032,Afternoon,4:00 PM,28,Red Fish,Mega Extreme Ball
01-06-2022,22033,Evening,7:00 PM,26,Fowl,"Megaball, Mega Extreme Ball"
01-06-2022,22031,Midday,1:00 PM,5,Parson Man,
01-06-2022,22030,Morning,10:30 AM,20,Dog,Megaball
01-06-2023,23264,Afternoon,4:00 PM,24,Queen,Mega Bonus Ball
01-06-2023,23265,Evening,7:00 PM,4,Dead Man,"Mega Bonus Ball, Mega Bonus Ball"
01-06-2023,23263,Midday,1:00 PM,9,Cattle,Megaball
01-06-2023,23262,Morning,10:30 AM,5,Parson Man,Mega Bonus Ball
01-06-2024,24496,Afternoon,4:00 PM,7,Hog,Mega Bonus Ball
01-06-2024,24497,Evening,7:00 PM,34,Blind Man,"Mega Bonus Ball, Mega Bonus Ball"
01-06-2024,24495,Midday,1:00 PM,14,Money,"Mega Bonus Ball, Mega Bonus Ball"
01-06-2024,24494,Morning,10:30 AM,28,Red Fish,"Mega Bonus Ball, Mega Bonus Ball"
01-07-1995,616,Evening,7:00 PM,14,Money,
01-07-1995,615,Midday,1:00 PM,11,Corbeau,
01-07-1996,1230,Evening,7:00 PM,24,Queen,
01-07-1996,1229,Midday,1:00 PM,31,Parson Wife,
01-07-1997,1846,Evening,7:00 PM,33,Spider,
01-07-1997,1845,Midday,1:00 PM,31,Parson Wife,
01-07-1998,2462,Evening,7:00 PM,24,Queen,
01-07-1998,2461,Midday,1:00 PM,12,King,
01-07-1999,3076,Evening,7:00 PM,12,King,
01-07-1999,3075,Midday,1:00 PM,28,Red Fish,
01-07-2000,3694,Evening,7:00 PM,1,Centipede,
01-07-2000,3693,Midday,1:00 PM,3,Carriage,
01-07-2002,4920,Evening,7:00 PM,18,Water Boat,
01-07-2002,4919,Midday,1:00 PM,12,King,
01-07-2003,5534,Evening,7:00 PM,6,Belly,
01-07-2003,5533,Midday,1:00 PM,29,Opium Man,
01-07-2004,6150,Evening,7:00 PM,34,Blind Man,
01-07-2004,6149,Midday,1:00 PM,30,House Cat,
01-07-2005,6762,Evening,7:00 PM,10,Monkey,
01-07-2005,6761,Midday,1:00 PM,2,Old Lady,
01-07-2006,7374,Evening,7:00 PM,25,Morocoy,
01-07-2006,7373,Midday,1:00 PM,20,Dog,
01-07-2008,8604,Evening,7:00 PM,31,Parson Wife,
